题目,朝代,作者,内容
和题稽古轩,宋末金初,宇文虚中,堆架缣缃粲蔀居，眼前长物埽无馀。避嚣肯要邻人卜，论友先寻上世书。汲古不须忧绠短，随波聊复任舟虚。勿欺文室才容膝，六合神游有日车。
己酉岁书怀,宋末金初,宇文虚中,去国匆匆遂隔年，公私无益两茫然。当时议论不能固，今日穷愁何足怜。生死已从前世定，是非留与后人传。孤臣不为沈湘恨，怅望三韩别有天。
泾王许以酒饷龙溪老人几月不至以诗促之,宋末金初,宇文虚中,先生寂莫草玄文，正要侯芭作富邻。客至但须樽有酒，日高不怕甑生尘。急催岭外传梅使，来饷篱边采菊人。已埽明窗供点笔，为君拟赋洞庭春。
从人借琴,宋末金初,宇文虚中,峄阳惯听凤雏鸣，泻出泠然万籁声。已厌笙簧非雅曲，幸从炊爨脱馀生。昭文不鼓缘何意，靖节无弦且寄情。乞与南冠囚絷客，为君一奏变春荣。
过居庸关,宋末金初,宇文虚中,奔峭从天拆，悬流赴壑清。路回穿石细，崖裂与藤争。花已从南发，人今又北行。节旄都落尽，奔走愧平生。
晚宿耀武关,宋末金初,宇文虚中,山与烟云暝，溪兼冰雪流。寒枝啼秸鞠，炀室聚咿嚘。此日征行困，何时丧乱休。尚矜争席好，无复旧鸣驺。
安定道中,宋末金初,宇文虚中,落日尘埃壮，阴风天地昏。牛羊争隘道，鸟雀聚空村。跛曳伤行役，光华误主恩。未甘迟莫景，伏枥意犹存。
上乌林天使三首 其一,宋末金初,宇文虚中,平生随牒浪推移，只为生民不为私。万里翠舆犹远播，一身幽圄敢终辞。鲁人除馆西河外，汉使驱羊北海湄。不是故人高议切，肯来军府问钟仪。
上乌林天使三首 其二,宋末金初,宇文虚中,拭玉辕门吐寸诚，敢将缓颊沮天兵。雷霆傥肯矜彫弊，草芥何须计死生。定鼎未应周命改，登坛合许赵人平。知君妙有经邦策，存取威怀万世名。
上乌林天使三首 其三,宋末金初,宇文虚中,当时初结两朝欢，曾见军前捧血槃。本为万年依荫厚，那知一日遽盟寒。羊牵已作俘囚献，鱼漏终期网罟宽。幸有故人知底蕴，下臣获考敢谋安。
姑苏滕惇礼榜所居阁曰斋心成都宇文某作诗以广其意,宋末金初,宇文虚中,不是凭虚避世喧，此中于物本无缘。静看畏影徒劳尔，题作斋心亦且然。意识已随言语断，生涯聊任岁时迁。老夫亦涉天游趣，三复南华第四篇。
又和九日,宋末金初,宇文虚中,老畏年光短，愁随秋色来。一持旌节出，五见菊花开。强忍玄猿泪，聊浮绿蚁杯。不堪南向望，故国又丛台。
中秋觅酒,宋末金初,宇文虚中,今夜家家月，临筵照绮楼。那知孤馆客，独抱故乡愁。感激时难遇，讴吟意未休。应分千斛酒，来洗百年忧。
四序回文十二首 其一 春,宋末金初,宇文虚中,短草铺茸绿，残红照雪稀。暖轻还锦褥，寒峭怯罗衣。
四序回文十二首 其二 春,宋末金初,宇文虚中,翠涟冰绽日，香径晚多花。细笋抽蒲密，长条舞柳斜。
四序回文十二首 其三 春,宋末金初,宇文虚中,折花幽槛小，倾酒绿杯深。蝶舞轻风晓，莺啼老树阴。
四序回文十二首 其一 夏,宋末金初,宇文虚中,翠密围窗竹，青圆贴水荷。睡多嫌昼永，醒少得风和。
四序回文十二首 其二 夏,宋末金初,宇文虚中,草径迷深绿，莲池浴腻红。早蝉鸣树曲，鲜鲤跃潭东。
四序回文十二首 其三 夏,宋末金初,宇文虚中,暴雨随云骤，惊雷隐地平。好风摇箑透，轻汗挹冰清。
四序回文十二首 其一 秋,宋末金初,宇文虚中,晚日欣帘捲，凉风觉袂摇。远吟高兴遣，长醉宿愁销。
四序回文十二首 其二 秋,宋末金初,宇文虚中,短苇低残雨，虚舟带晚潮。断鸿归暗浦，疏叶堕寒梢。
四序回文十二首 其三 秋,宋末金初,宇文虚中,戚戚蛬吟苦，茫茫水驿孤。日衔山色莫，霜带菊丛枯。
四序回文十二首 其一 冬,宋末金初,宇文虚中,鹘健呼风急，乌啼促景残。窟深宜兔蛰，蒲折荫鱼寒。
四序回文十二首 其二 冬,宋末金初,宇文虚中,裂瓦寒霜重，铺窗月影清。灭灯惊好梦，孤枕念深情。
四序回文十二首 其三 冬,宋末金初,宇文虚中,秀柏留阴绿，芳梅蘸影斜。溜檐冰结玉，装树雪飞花。
灯碑五首 其一,宋末金初,宇文虚中,清阴霭霭匝城闉，万井熙熙桃杏春。紫陌传呼旌旆出，重臣新佩玉麒麟。
灯碑五首 其二,宋末金初,宇文虚中,钿轴天章拜异恩，驿骖花骑映朝暾。手持禁钥千门肃，官压东宫二品尊。
灯碑五首 其三,宋末金初,宇文虚中,垒原清照白登山，弥陇连天麦浪寒。剑戟渐销农器出，人家只识劝农官。
