"题目","朝代","作者","内容"
"从军行","隋","卢思道","朔方烽火照甘泉。长安飞将出祁连。犀渠玉剑良家子。白马金羁侠少年。平明偃月屯右地。薄暮鱼丽逐左贤。谷中石虎经衔箭。山上金人曾祭天。天涯一去无穷已。蓟门迢递三千里。朝见马岭黄沙合。夕望龙城阵云起。庭中奇树已堪攀。塞外征人殊未还。白雪初下天山外。浮云直上五原间。关山万里不可越。谁能坐对芳菲月。流水本自断人肠。坚冰旧来伤马骨。边庭节物与华异。冬霰秋霜春不歇。长风萧萧渡水来。归雁连连映天没。从军行。军行万里出龙庭。单于渭桥今已拜。将军何处觅功名。"
"东归在路率尔成咏诗","隋","孙万寿","学宦两无成，归心自不平。故乡尚千里，山秋猿夜鸣。人愁惨云色，客意惯风声。羁恨虽多绪，俱是一伤情。"
"早发扬州还望乡邑诗","隋","孙万寿","乡关不再见，怅望穷此晨。山烟蔽钟阜，水雾隐江津。洲渚敛寒色，杜若变芳春。无复归飞羽，空悲沙塞尘。"
"山斋独坐赠薛内史诗二首 其一","隋","杨素","居山四望阻，风云竟朝夕。深溪横古树，空岩卧幽石。日出远岫明，鸟散空林寂。兰庭动幽气，竹室生虚白。落花入户飞，细草当阶积。桂酒徒盈樽，故人不在席。日暮山之幽，临风望羽客。"
"山斋独坐赠薛内史诗二首 其二","隋","杨素","岩壑澄清景，景清岩壑深。白云飞暮色，绿水激清音。涧户散馀彩，山窗凝宿阴。花草共萦映，树石相陵临。独坐对陈榻，无客有鸣琴。寂寂幽山里，谁知无闷心。"
"从军行","隋","明馀庆","三边烽乱惊，十万且横行。风卷常山阵，笳喧细柳营。剑花寒不落，弓月晓逾明。会取淮南地，持作朔方城。"
"入郴江诗","隋","薛道衡","仗节遵严会，扬舲溯急流。征涂非白马，水势类黄牛。跳波鸣石碛，溅沫拥沙洲。岸回槎倒转，滩长船却浮。缘崖频断挽，挂壁屡移钩。还忆青丝骑，东方来上头。"
"从驾天池应诏诗","隋","薛道衡","上圣家寰字，威略振边陲。八维穷眺览，千里曳旌旗。驾鼋临碧海，控骥践瑶池。曲浦腾烟雾，深浪骇鲸螭。"
"从驾幸晋阳诗","隋","薛道衡","省方遵往册，游豫叶前经。金吾朝戒道，校尉晚巡营。重峦下飞骑，绝浦渡连旌。涧水寒逾咽，松风远更清。方观翠华反，簪笔上云亭。"
"出塞二首和杨素 其一","隋","薛道衡","高秋白露团，上将出长安。尘沙塞下暗，风月陇头寒。转蓬随马足，飞霜落剑端。凝云迷代郡，流水冻桑乾。烽微桔槔远，桥峻辘轳难。从军多恶少，召募尽材官。伏堤时卧鼓，疑兵乍解鞍。柳城擒冒顿，长坂纳呼韩。受降今更筑，燕然已重刊。还嗤傅介子，辛苦刺楼兰。"
"出塞二首和杨素 其二","隋","薛道衡","边庭烽火惊，插羽夜徵兵。少昊腾金气，文昌动将星。长驱鞮汗北，直指夫人城。绝漠三秋暮，穷阴万里生。寒夜哀笛曲，霜天断雁声。连旗下鹿塞，叠鼓向龙庭。妖云坠虏阵，晕月绕胡营。左贤皆顿颡，单于已系缨。绁马登玄阙，钩鲲临北溟。当知霍骠骑，高第起西京。"
"岁穷应教诗","隋","薛道衡","故年随夜尽，初春逐晓生。方验从军乐，饮至入西京。"
"和许给事善心戏场转韵诗","隋","薛道衡","京洛重新年，复属月轮圆。云间璧独转，空里镜孤悬。万方皆集会，百戏尽来前。临衢车不绝，夹道阁相连。惊鸿出洛水，翔鹤下伊川。艳质回风雪，笙歌韵管弦。佳丽俨成行，相携入戏场。衣类何平叔，人同张子房。高高城里髻，峨峨楼上妆。罗裙飞孔雀，绮带垂鸳鸯。月映班姬扇，风飘韩寿香。竟夕鱼负灯，彻夜龙衔烛。欢笑无穷已，歌咏还相续。羌笛陇头吟，胡舞龟兹曲。假面饰金银，盛服摇珠玉。宵深戏未阑，兢为人所难。卧驱飞玉勒，立骑转银鞍。纵横既跃剑，挥霍复跳丸。抑扬百兽舞，盘跚五禽戏。狻猊弄斑足，巨象垂长鼻。青羊跪复跳，白马回旋骑。忽睹罗浮起，俄看郁昌至。峰岭既崔嵬，林丛亦青翠。麋鹿下腾倚，猴猿或蹲跂。金徒列旧刻，玉律动新灰。甲荑垂陌柳，残花散苑梅。繁星渐寥落，斜月尚徘徊。王孙犹劳戏，公子未归来。共酌琼酥酒，同倾鹦鹉杯。普天逢圣日，兆庶喜康哉。"
"咏苔纸诗","隋","薛道衡","昔时应春色，引渌泛清流。今来承玉管，布字改银钩。"
"奉和月夜听军乐应诏诗","隋","薛道衡","旌门临古堞，徼道度深隍。月冷疑秋夜，山寒落夏霜。遥空澄暮色，清景散馀光。笳声喧陇水，鼓曲噪渔阳。沈郁兴神思，眺听发天章。嵩岱终难学，丘陵徒自强。"
"奉和临渭源应诏诗","隋","薛道衡","玄功复禹迹，至德去汤罗。玉关亭障远，金方水石多。八川兹一态，万里导长波。惊流注陆海，激浪象天河。鸾旗历岩谷，龙穴暂经过。西老陪游宴，南风起咏歌。庶品蒙仁泽，生灵穆太和。微臣惜暮景，愿驻鲁阳戈。"
"昔昔盐","隋","薛道衡","垂柳覆金堤，蘼芜叶复齐。水溢芙蓉沼，花飞桃李蹊。采桑秦氏女，织锦窦家妻。关山别荡子，风月守空闺。恒敛千金笑，长垂双玉啼。盘龙随镜隐，彩凤逐帷低。飞魂同夜鹊，倦寝忆晨鸡。暗牖悬蛛网，空梁落燕泥。前年过代北，今岁往辽西。一去无消息，那能惜马蹄。"
"昭君辞","隋","薛道衡","我本良家子，充选入椒庭。不蒙女史进，更失画师情。蛾眉非本质，蝉鬓改真形。专由妾命薄，误使君恩轻。啼沾渭桥路，叹别长安城。夜依寒草宿，朝逐转蓬征。却望关山迥，前瞻沙漠平。胡风带秋月，嘶马杂笳声。毛裘易罗绮，毡帐代金屏。自知莲脸歇，羞看菱镜明。钗落终应弃，髻解不须萦。何用单于重，讵假阏氏名。駃騠聊强食，筒酒未能倾。心随故乡断，愁逐塞云生。汉宫如有忆，为视旄头星。"
"秋日游昆明池诗","隋","薛道衡","灞陵因静退，灵沼暂徘徊。新船木兰楫，旧宇豫章材。荷心宜露泫，竹径重风来。鱼潜疑刻石，沙暗似沈灰。琴逢鹤欲舞，酒遇菊花开。羁心与秋兴，陶然寄一杯。"
"重酬杨仆射山亭诗","隋","薛道衡","寂寂无与晤，朝端去总戎。空庭聊步月，闲坐独临风。临风时太息，步月山泉侧。朝朝散霞彩，暮暮澄秋色。秋色遍皋兰，霞彩落云端。吹旌朔气冷，照剑日光寒。光寒塞草平，气冷咽笳声。将军献凯入，蔼蔼风云生。"
"夏晚诗","隋","薛道衡","流火稍西倾，夕影遍曾城。高天澄远色，秋气入蝉声。"
"展敬上凤林寺诗","隋","薛道衡","净土连幽谷，宝塔对危峰。林栖丹穴凤，地迩白沙龙。独岩楼迥出，复道阁相重。洞开朝雾敛，石湿晓云浓。高筱低云盖，风枝响和钟。檐阴翻细柳，涧影落长松。珠桂浮明月，莲座吐芙蓉。隐沦徒有意，心迹未相从。"
"梅夏应教诗","隋","薛道衡","长廊连紫殿，细雨应黄梅。浮云半空上，清吹隔池来。集凤桐花散，胜龟莲叶开。幸逢为善乐，频降济时才。"
"敬酬杨仆射山斋独坐诗","隋","薛道衡","相望山河近，相思朝夕劳。龙门竹箭急，华岳莲花高。岳高嶂重叠，鸟道风烟接。遥原树若荠，远水舟如叶。叶舟旦旦浮，惊波夜夜流。露寒洲渚白，月冷函关秋。秋夜清风发，弹琴即鉴月。虽非庄舄歌，吟咏常思越。"
"渡北河诗","隋","薛道衡","连旌映溆浦，叠鼓拂沙洲。桃花长新浪，竹箭下奔流。塞云临远舰，胡风入阵楼。剑拔蛟将出，骖惊鼋欲浮。雁书终立效，燕相果封侯。勿恨关河远，且宽边地愁。"
"豫章行 其一","隋","薛道衡","江南地远接闽瓯，山东英妙屡经游。前瞻叠障千重阻，却带惊湍万里流。枫叶朝飞向京洛，文鱼夜过历吴洲。君行远度茱萸岭，妾住长依明月楼。楼中愁思不开嚬，始复临窗望早春。鸳鸯水上萍初合，鸣鹤园中花并新。空忆常时角枕处，无复前日画眉人。照骨金环谁用许，见胆明镜自生尘。"
"引谚","隋","苏玄朗","天地之先，无根灵草。一意制度，产成至宝。"
"乌夜啼 其二","隋","无名氏","长樯铁鹿子，布帆阿那起。诧侬安在间，一去数千里。"
"时人为檀道济歌","隋","无名氏","可怜白浮鸠。枉杀檀江州。"
"时人为檀道济歌","隋","无名氏","生人作死别，荼毒当奈何。"
"读曲歌","隋","无名氏","死罪刘领军，误杀刘第四。"
"刘敬叔引诗","隋","无名氏","鸡山别飞响，雉涧和清音。"
"民间为谢灵运谣","隋","无名氏","四人挈衣裙，三人捉坐席。"
"元嘉中魏地童谣","隋","无名氏","轺车北来如穿雉。不意虏马饮江水。虏主北归石济死。虏欲渡江天不徙。"
"臧质引童谣","隋","无名氏","虏马渡江水，佛狸死卯年。"
"元嘉末童谣","隋","无名氏","钱唐出天子。"
"民间为奚显度谣","隋","无名氏","宁得建康压额。不能受奚度拍。"
"泰始中童谣","隋","无名氏","东城出天子。"
"永光初谣言","隋","无名氏","湘州出天子。"
"元徽中童谣","隋","无名氏","襄阳白铜蹄。郎杀荆州儿。"
"东阳为释慧约谣","隋","无名氏","少达妙理娄居士。"
"时人为刘劭刘骏语","隋","无名氏","遥望建康城，江水逆流萦。前见子杀父，后见弟杀兄。"
"麦城俗谚","隋","无名氏","东驴西磨。麦城自破。"
"颜延之引谚","隋","无名氏","富则盛。贫则病。"
"清溪谚","隋","无名氏","扬州青。是鬼营。"
"释慧通引谚","隋","无名氏","指南为北，自谓不惑。指西为东，自谓不蒙。"
"时人为丁旿语","隋","无名氏","勿跋扈。付丁旿。"
"南豫州军士为王玄谟宗越语","隋","无名氏","宁作五年徒，不逢王玄谟。玄谟犹尚可，宗越更杀我。"
"鼓山俗语","隋","无名氏","南彭北鼓。相去十五。"
"京邑为何勖孟灵休语","隋","无名氏","安成食。临汝饰。"
"时人为王延之王僧虔语","隋","无名氏","二王居平。不送不迎。"
"京师为东安斗场二寺僧语","隋","无名氏","斗场禅师窟，东安谈义林。"
"时人为胡母颢语","隋","无名氏","禾绢闭眼诺。胡母大张橐。"
"百姓为袁粲褚彦回语","隋","无名氏","可怜石头城。宁为袁粲死。不作褚渊生。"
"齐宋以来民间语","隋","无名氏","扰攘建武上。"
"时人评八僧语","隋","无名氏","生睿发天真，严观洼流得。慧义彭亨进，寇渊千默塞。"
"时人为释道经慧静语","隋","无名氏","洛下长大耳，东阿黑如墨。有问无不酬，有酬无不塞。"
"碧玉歌 其一","隋","无名氏","碧玉破瓜时，郎为情颠倒。芙蓉陵霜荣，秋容故尚好。"
"华山畿二十五首 其二","隋","无名氏","闻欢大养蚕，定得几许丝。所得何足言，奈何黑瘦为。"
"华山畿二十五首 其三","隋","无名氏","夜相思。投壶不得箭。忆欢作娇时。"
"华山畿二十五首 其四","隋","无名氏","开门枕水渚。三刀治一鱼。历乱伤杀汝。"
"华山畿二十五首 其五","隋","无名氏","未敢便相许。夜闻侬家论。不持侬与汝。"
"华山畿二十五首 其六","隋","无名氏","懊恼不堪止。上床解要绳。自经屏风里。"
"华山畿二十五首 其八","隋","无名氏","将懊恼。石阙昼夜题。碑泪常不燥。"
"华山畿二十五首 其九","隋","无名氏","别后常相思。顿书千丈阙。题碑无罢时。"
"华山畿二十五首 其十","隋","无名氏","奈何许。所欢不在间。娇笑向谁绪。"
"华山畿二十五首 其十一","隋","无名氏","隔津欢。牵牛语织女。离泪溢河汉。"
"华山畿二十五首 其十二","隋","无名氏","啼相忆。泪如漏刻水。昼夜流不息。"
"华山畿二十五首 其十三","隋","无名氏","著处多遇罗。的的往年少。艳情何能多。"
"华山畿二十五首 其十四","隋","无名氏","无故相然我。路绝行人断。夜夜故望汝。"
"华山畿二十五首 其十五","隋","无名氏","一坐复一起。黄昏人定后。许时不来已。"
"华山畿二十五首 其十六","隋","无名氏","摩可浓。巷巷相罗截。终当不置汝。"
"华山畿二十五首 其十七","隋","无名氏","不能久长离。中夜忆欢时。抱被空中啼。"
"华山畿二十五首 其十八","隋","无名氏","腹中如汤灌。肝肠寸寸断。教侬底聊赖。"
"华山畿二十五首 其十九","隋","无名氏","相送劳劳渚。长江不应满。是侬泪成许。"
"华山畿二十五首 其二十一","隋","无名氏","郎情难可道。欢行豆挟心。见荻多欲绕。"
"华山畿二十五首 其二十二","隋","无名氏","松上萝。愿君如行云。时时见经过。"
"华山畿二十五首 其二十三","隋","无名氏","夜相思。风吹窗帘动。言是所欢来。"
"华山畿二十五首 其二十四","隋","无名氏","长鸣鸡。谁知侬念汝。独向空中啼。"
"华山畿二十五首 其二十五","隋","无名氏","腹中如乱丝。愦愦适得去。愁毒已复来。"
"读曲歌八十九首 其一","隋","无名氏","花钗芙蓉髻，双鬓如浮云。春风不知著，好来动罗裙。"
"读曲歌八十九首 其二","隋","无名氏","念子情难有。已恶动罗裙。斩侬入怀不。"
"读曲歌八十九首 其三","隋","无名氏","红蓝与芙蓉，我色与欢敌。莫案石榴花，历乱听侬摘。"
"读曲歌八十九首 其四","隋","无名氏","千叶红芙蓉，照灼绿水边。馀花任郎摘，慎莫罢侬连。"
"读曲歌八十九首 其五","隋","无名氏","思欢久。不爱独枝莲。只惜同心藕。"
"读曲歌八十九首 其六","隋","无名氏","打坏木栖床，谁能坐相思。三更书石阙，忆子夜啼碑。"
"读曲歌八十九首 其七","隋","无名氏","奈何不可言。朝看莫牛迹。知是宿蹄痕。"
"读曲歌八十九首 其八","隋","无名氏","娑拖何处归，道逢播掿郎。口朱脱去尽，花钗复低昂。"
"读曲歌八十九首 其九","隋","无名氏","所欢子。莲从胸上度。刺忆庭欲死。"
"读曲歌八十九首 其十","隋","无名氏","揽裳踱。跣把丝织履。故交白足露。"
"读曲歌八十九首 其十一","隋","无名氏","上知所。所欢不见怜。憎状从前度。"
"读曲歌八十九首 其十二","隋","无名氏","思难忍。络罂语犹壶。倒写侬顿尽。"
"读曲歌八十九首 其十三","隋","无名氏","上树摘桐花，何悟枝枯燥。迢迢空中落，遂为梧子道。"
"读曲歌八十九首 其十七","隋","无名氏","縠衫两袖裂，花钗鬓边低。何处分别归，西上古馀啼。"
"读曲歌八十九首 其十八","隋","无名氏","所欢子。不与他人别。啼是忆郎耳。"
"读曲歌八十九首 其十九","隋","无名氏","披被树明灯，独思谁能忍。欲知长寒夜，兰灯倾壶尽。"
"读曲歌八十九首 其二十","隋","无名氏","坐起叹汝好。愿他甘丛香。倾筐入怀抱。"
"读曲歌八十九首 其二十二","隋","无名氏","忆欢不能食。徘徊三路间。因风觅消息。"
"读曲歌八十九首 其二十三","隋","无名氏","朝日光景开，从君良燕游。愿如卜者策，长与千岁龟。"
"读曲歌八十九首 其二十四","隋","无名氏","所欢子。问春花可怜。括插袮裆里。"
"读曲歌八十九首 其二十五","隋","无名氏","芳萱初生时，知是无忧草。双眉画未成，那能就郎抱。"
"读曲歌八十九首 其二十六","隋","无名氏","百花鲜。谁能怀春日。独入罗帐眠。"
"读曲歌八十九首 其二十七","隋","无名氏","闻欢得新侬。四支懊如垂。鸟散放行路。井中百翅不能飞。"
"读曲歌八十九首 其二十八","隋","无名氏","怜欢敢唤名，念欢不呼字。连唤欢复欢，两誓不相弃。"
"读曲歌八十九首 其三十","隋","无名氏","白门前。乌帽白帽来。白帽郎是侬。良不知乌帽郎是谁。"
"读曲歌八十九首 其三十一","隋","无名氏","初阳正二月，草木郁青青。蹑履步前园，时物感人情。"
"读曲歌八十九首 其三十二","隋","无名氏","青幡起御路，绿柳荫驰道。欢赠玉树筝，侬送千金宝。"
"读曲歌八十九首 其三十三","隋","无名氏","桃花落已尽，秋思犹未央。春风难期信，托情明月光。"
"读曲歌八十九首 其三十四","隋","无名氏","计约黄昏后，人断犹未来。闻欢开方局，已复将谁期。"
"读曲歌八十九首 其三十五","隋","无名氏","自从别郎后，卧宿头不举。飞龙落药店，骨出只为汝。"
"读曲歌八十九首 其三十六","隋","无名氏","日光没已尽，宿鸟纵横飞。徙倚望行云，躞蹀待郎归。"
"读曲歌八十九首 其三十七","隋","无名氏","百度不一回，千书信不归。春风吹杨柳，华艳空徘徊。"
"读曲歌八十九首 其三十八","隋","无名氏","音信阔弦朔，方悟千里遥。朝霜语白日，知我为欢消。"
"读曲歌八十九首 其三十九","隋","无名氏","合冥过藩来，向晓开门去。欢取身上好，不为侬作虑。"
"读曲歌八十九首 其四十","隋","无名氏","五鼓起开门，正见欢子度。何处宿行还，衣被有霜露。"
"读曲歌八十九首 其四十一","隋","无名氏","本自无此意，谁交郎举前。视侬转迈迈，不复来时言。"
"读曲歌八十九首 其四十二","隋","无名氏","自我别欢后，叹音不绝响。茱萸持捻泥，龛有杀子像。"
"读曲歌八十九首 其四十三","隋","无名氏","家贫近店肆，出入引长事。郎君不浮华，谁能呈实意。"
"读曲歌八十九首 其四十四","隋","无名氏","念日行不遇，道逢播掿郎。查灭衣服坏，白肉亦黯疮。"
"读曲歌八十九首 其四十五","隋","无名氏","歔欷暗中啼，斜日照帐里。无油何所苦，但使天明尔。"
"读曲歌八十九首 其四十六","隋","无名氏","黄丝咡素琴，泛弹弦不断。百弄任郎作，唯莫广陵散。"
"读曲歌八十九首 其四十八","隋","无名氏","诈我不出门，冥就他侬宿。鹿转方相头，丁倒欺人目。"
"读曲歌八十九首 其四十九","隋","无名氏","欢但且还去，遗信相参伺。契儿向高店，须臾侬自来。"
"读曲歌八十九首 其五十","隋","无名氏","欲行一过心，谁我道相怜。摘菊持饮酒，浮华著口边。"
"读曲歌八十九首 其五十一","隋","无名氏","语我不游行，常常走巷路。败桥语方相，欺侬那得度。"
"读曲歌八十九首 其五十二","隋","无名氏","阔面行负情，诈我言端的。画背作天图，子将负星历。"
"读曲歌八十九首 其五十三","隋","无名氏","君行负怜事，那得厚相于。麻纸语三葛，我薄汝粗疏。"
"读曲歌八十九首 其五十四","隋","无名氏","黄天不灭解，甲夜曙星出。漏刻无心肠，复令五更毕。"
"读曲歌八十九首 其五十六","隋","无名氏","空中人。住在高樯深閤里。书信了不通。故使风往尔。"
"读曲歌八十九首 其五十七","隋","无名氏","侬心常慊慊，欢行由豫情。雾露隐芙蓉，见莲讵分明。"
"读曲歌八十九首 其五十八","隋","无名氏","非欢独慊慊，侬意亦驱驱。双灯俱时尽，奈许两无由。"
"读曲歌八十九首 其五十九","隋","无名氏","谁交强缠绵，常持罢作虑。作生隐藕叶，莲侬在何处。"
"读曲歌八十九首 其六十","隋","无名氏","相怜两乐事，黄作无趣怒。合散无黄连，此事复何苦。"
"读曲歌八十九首 其六十一","隋","无名氏","谁交强缠绵，常持罢作意。走马织悬帘，薄情奈当驶。"
"读曲歌八十九首 其六十三","隋","无名氏","百忆却欲噫，两眼常不燥。蕃师五鼓行，离侬何太早。"
"读曲歌八十九首 其六十四","隋","无名氏","含笑来向侬，一抱不能置。领后千里带，那顿谁多媚。"
"读曲歌八十九首 其六十五","隋","无名氏","欢相怜。今去何时来。裲裆别去年。不忍见分题。"
"读曲歌八十九首 其六十六","隋","无名氏","欢相怜。题心共饮血。流头入黄泉。分作两死计。"
"读曲歌八十九首 其六十七","隋","无名氏","娇笑来向侬，一抱不能已。湖燥芙蓉萎，莲汝藕欲死。"
"读曲歌八十九首 其六十八","隋","无名氏","欢心不相怜，慊苦竟何已。芙蓉腹里萎，莲汝从心起。"
"读曲歌八十九首 其六十九","隋","无名氏","下帷掩灯烛，明月照帐中。无油何所苦，但使天明侬。"
"读曲歌八十九首 其七十","隋","无名氏","执手与欢别，欲去情不忍。馀光照已藩，坐见离日尽。"
"读曲歌八十九首 其七十一","隋","无名氏","种莲长江边，藕生黄蘖浦。必得莲子时，流离经辛苦。"
"读曲歌八十九首 其七十二","隋","无名氏","人传我不虚，实情明把纳。芙蓉万层生，莲子信重沓。"
"读曲歌八十九首 其七十三","隋","无名氏","闻乖事难怀，况复临别离。伏龟语石板，方作千岁碑。"
"读曲歌八十九首 其七十四","隋","无名氏","钤荡与时竞，不得寻倾虑。春风扇芳条，常念花落去。"
"读曲歌八十九首 其七十五","隋","无名氏","坐倚无精魂，使我生百虑。方局十七道，期会是何处。"
"读曲歌八十九首 其七十七","隋","无名氏","十期九不果，常抱怀恨生。然灯不下炷，有油那得明。"
"读曲歌八十九首 其七十八","隋","无名氏","自从近日来，了不相寻博。竹帘裲裆题，知子心情薄。"
"读曲歌八十九首 其七十九","隋","无名氏","下帷灯火尽，朗月照怀里。无油何所苦，但今天明尔。"
"读曲歌八十九首 其八十","隋","无名氏","近日莲违期，不复寻博子。六筹翻双鱼，都成罢去已。"
"读曲歌八十九首 其八十三","隋","无名氏","侬亦粗经风。罢顿葛帐里。败许尘疏中。"
"读曲歌八十九首 其八十四","隋","无名氏","紫草生湖边，误落芙蓉里。色分都未获，空中染莲子。"
"读曲歌八十九首 其八十五","隋","无名氏","闺閤断信使，的的两相忆。譬如水上影，分明不可得。"
"读曲歌八十九首 其八十六","隋","无名氏","逍遥待晓分，转侧听更鼓。明月不应停，特为相思苦。"
"读曲歌八十九首 其八十七","隋","无名氏","罢去四五年，相见论故情。杀荷不断藕，莲心已复生。"
"读曲歌八十九首 其八十八","隋","无名氏","辛苦一朝欢，须臾情易厌。行膝点芙蓉，深莲非骨念。"
"读曲歌八十九首 其八十九","隋","无名氏","慊苦忆侬欢，书作后非是。五果林中度，见花多忆子。"
"石城乐 其二","隋","无名氏","阳春百花生，摘插环髻前。捥指蹋忘愁，相与及盛年。"
"石城乐 其三","隋","无名氏","布帆百馀幅，环环在江津。执手双泪落，何时见欢还。"
"石城乐 其四","隋","无名氏","大艑载三千，渐水丈五馀。水高不得渡，与欢合生居。"
"莫愁乐 其一","隋","无名氏","莫愁在何处，莫愁石城西。艇子打两桨，催送莫愁来。"
"莫愁乐 其二","隋","无名氏","闻欢下扬州，相送楚山头。探手抱腰看，江水断不流。"
"乌夜啼 其三","隋","无名氏","辞家远行去，侬欢独离居。此日无啼音，裂帛作还书。"
